,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
1,202058,James,Williams,60  ,0021600734
2,202041,Kevin,Scott,28  ,0021600734
0,1164,Ron,Garretson,10  ,0021700042
1,1830,Marc,Davis,8   ,0021700042
2,1626303,Vladimir,Voyard-Tadal,76  ,0021700042
0,1193,Michael,Smith,38  ,0021701158
1,1662,Bill,Kennedy,55  ,0021701158
2,200832,Curtis,Blair,74  ,0021701158
0,1199,Tom,Washington,49  ,0021800302
1,204059,Tyler,Ford,39  ,0021800302
2,1627962,Jacyn,Goble,68  ,0021800302
0,2715,Eric,Lewis,42  ,0021800953
1,202007,Nick,Buchert,3   ,0021800953
2,1626300,Ray,Acosta,54  ,0021800953
0,1148,James,Capers,19  ,0021600174
1,1188,Leroy,Richardson,20  ,0021600174
2,202000,Steve,Anderson,35  ,0021600174
0,1179,Rodney,Mott,71  ,0021601044
1,1198,Scott,Wall,31  ,0021601044
2,202041,Kevin,Scott,28  ,0021601044
0,1176,Monty,McCutchen,13  ,0021700017
1,2715,Eric,Lewis,42  ,0021700017
2,202056,CJ,Washington,12  ,0021700017
0,2001,Jason,Phillips,23  ,0021700714
1,202026,Karl,Lane,77  ,0021700714
2,1626300,Ray,Acosta,54  ,0021700714
0,1179,Rodney,Mott,71  ,0021800149
1,200832,Curtis,Blair,74  ,0021800149
2,204058,Gediminas,Petraitis,50  ,0021800149
0,2001,Jason,Phillips,23  ,0021800306
1,2529,Tony,Brown,6   ,0021800306
2,203591,Mitchell,Ervin,27  ,0021800306
0,1662,Bill,Kennedy,55  ,0021600193
1,1179,Rodney,Mott,71  ,0021600193
2,201637,Haywoode,Workman,66  ,0021600193
0,2882,Sean,Wright,4   ,0021600613
1,202041,Kevin,Scott,28  ,0021600613
2,202027,Tre,Maddox,73  ,0021600613
0,1363,Bennie,Adams,47  ,0021700390
1,202007,Nick,Buchert,3   ,0021700390
2,202053,Scott,Twardoski,52  ,0021700390
0,1188,Leroy,Richardson,20  ,0021700786
1,2003,Pat,Fraher,26  ,0021700786
2,1626301,Jason,Goldenberg,35  ,0021700786
0,1164,Ron,Garretson,10  ,0021800007
1,101284,John,Goble,30  ,0021800007
2,201245,Marat,Kogut,32  ,0021800007
0,1830,Marc,Davis,8   ,0021800472
1,201638,Brent,Barnaky,36  ,0021800472
2,1628953,Ashley,Moyer-Gleich,75  ,0021800472
0,1147,Mike,Callahan,24  ,0021600216
1,1193,Michael,Smith,38  ,0021600216
2,202027,Tre,Maddox,73  ,0021600216
0,1162,Scott,Foster,48  ,0021601226
1,2004,Courtney,Kirkland,61  ,0021601226
2,200833,Eric,Dalen,37  ,0021601226
0,1179,Rodney,Mott,71  ,0021700874
1,1204,Derek,Richardson,63  ,0021700874
2,2714,David,Guthrie,16  ,0021700874
0,2534,Zach,Zarba,15  ,0021700978
1,200834,Mark,Lindsay,29  ,0021700978
2,204059,Tyler,Ford,39  ,0021700978
0,1162,Scott,Foster,48  ,0021800226
1,101283,Brian,Forte,45  ,0021800226
2,1626300,Ray,Acosta,54  ,0021800226
0,202053,Scott,Twardoski,52  ,0021800542
1,202058,James,Williams,60  ,0021800542
2,203593,Justin,Van Duyne,64  ,0021800542
0,1148,James,Capers,19  ,0021600231
1,1664,Gary,Zielinski,59  ,0021600231
2,202000,Steve,Anderson,35  ,0021600231
0,200834,Mark,Lindsay,29  ,0021701062
1,202058,James,Williams,60  ,0021701062
2,203592,Dedric,Taylor,21  ,0021701062
0,1204,Derek,Richardson,63  ,0021800773
1,201640,Kane,Fitzgerald,5   ,0021800773
2,202027,Tre,Maddox,73  ,0021800773
0,2530,Ed,Malloy,14  ,0021600252
1,101284,John,Goble,30  ,0021600252
2,204058,Gediminas,Petraitis,50  ,0021600252
0,2148,Mark,Ayotte,56  ,0021700590
1,201245,Marat,Kogut,32  ,0021700590
2,201639,Josh,Tiven,58  ,0021700590
0,1204,Derek,Richardson,63  ,0021800189
1,2882,Sean,Wright,4   ,0021800189
2,202041,Kevin,Scott,28  ,0021800189
0,1363,Bennie,Adams,47  ,0021600259
1,200834,Mark,Lindsay,29  ,0021600259
2,202037,J.T.,Orr,72  ,0021600259
0,1179,Rodney,Mott,71  ,0021701087
1,2882,Sean,Wright,4   ,0021701087
2,201246,Kevin,Cutler,34  ,0021701087
0,1147,Mike,Callahan,24  ,0021800201
1,2002,Derrick,Collins,11  ,0021800201
2,1627961,Brandon,Adair,67  ,0021800201
0,1164,Ron,Garretson,10  ,0021600274
1,1194,Bill,Spooner,22  ,0021600274
2,201637,Haywoode,Workman,66  ,0021600274
0,1148,James,Capers,19  ,0021700551
1,201638,Brent,Barnaky,36  ,0021700551
2,1626302,Aaron,Smith,51  ,0021700551
0,1164,Ron,Garretson,10  ,0021800784
1,1199,Tom,Washington,49  ,0021800784
2,203593,Justin,Van Duyne,64  ,0021800784
0,1199,Tom,Washington,49  ,0021600293
1,202007,Nick,Buchert,3   ,0021600293
2,1626302,Aaron,Smith,51  ,0021600293
0,2530,Ed,Malloy,14  ,0021600392
