origin,TEAM_ABBREVIATION_x,destination,TEAM_ABBREVIATION_y,distance_miles
Los Angeles Lakers,LAL,Detroit,DET,2282.56
Los Angeles Clippers,LAC,Detroit,DET,2282.56
Memphis Grizzlies,MEM,Detroit,DET,742.57
Miami Heat,MIA,Detroit,DET,1382.77
Milwaukee Bucks,MIL,Detroit,DET,381.04
Minnesota Timberwolves,MIN,Detroit,DET,693.28
New Orleans Pelicans,NOP,Detroit,DET,1065.64
New York Knicks,NYK,Detroit,DET,615.78
Oklahoma City Thunder,OKC,Detroit,DET,1026.85
Orlando Magic,ORL,Detroit,DET,1159.11
Philadelphia 76ers,PHI,Detroit,DET,583.4
Phoenix Suns,PHX,Detroit,DET,1984.11
Portland Trailblazers,POR,Detroit,DET,2388.46
Sacramento Kings,SAC,Detroit,DET,2312.99
San Antonio Spurs,SAS,Detroit,DET,1455.03
Toronto Raptors,TOR,Detroit,DET,241.91
Utah Jazz,UTA,Detroit,DET,1663.88
Washington Wizards,WAS,Detroit,DET,525.48
Atlanta Hawks,ATL,Oakland,GSW,2456.9
Boston Celtics,BOS,Oakland,GSW,3095.38
Brooklyn Nets,BKN,Oakland,GSW,2904.41
Charlotte Hornets,CHA,Oakland,GSW,2701.77
Chicago Bulls,CHI,Oakland,GSW,2125.37
Cleveland Cavaliers,CLE,Oakland,GSW,2455.89
Dallas Mavericks,DAL,Oakland,GSW,1713.47
Denver Nuggets,DEN,Oakland,GSW,1209.03
Detroit Pistons,DET,Oakland,GSW,2392.59
Golden State Warriors,GSW,Oakland,GSW,0
Houston Rockets,HOU,Oakland,GSW,1910.89
Indiana Pacers,IND,Oakland,GSW,2271.63
Los Angeles Lakers,LAL,Oakland,GSW,372.46
Los Angeles Clippers,LAC,Oakland,GSW,372.46
Memphis Grizzlies,MEM,Oakland,GSW,2075.87
Miami Heat,MIA,Oakland,GSW,3093.94
Milwaukee Bucks,MIL,Oakland,GSW,2167.89
Minnesota Timberwolves,MIN,Oakland,GSW,1977.51
New Orleans Pelicans,NOP,Oakland,GSW,2216.38
New York Knicks,NYK,Oakland,GSW,2903.68
Oklahoma City Thunder,OKC,Oakland,GSW,1609.74
Orlando Magic,ORL,Oakland,GSW,2870.28
Philadelphia 76ers,PHI,Oakland,GSW,2871.35
Phoenix Suns,PHX,Oakland,GSW,736.29
Portland Trailblazers,POR,Oakland,GSW,635.81
Sacramento Kings,SAC,Oakland,GSW,87.04
San Antonio Spurs,SAS,Oakland,GSW,1721.11
Toronto Raptors,TOR,Oakland,GSW,2630
Utah Jazz,UTA,Oakland,GSW,735.88
Washington Wizards,WAS,Oakland,GSW,2813.44
Atlanta Hawks,ATL,Houston,HOU,793.42
Boston Celtics,BOS,Houston,HOU,1847.59
Brooklyn Nets,BKN,Houston,HOU,1634.01
Charlotte Hornets,CHA,Houston,HOU,1036.17
Chicago Bulls,CHI,Houston,HOU,1083.74
Cleveland Cavaliers,CLE,Houston,HOU,1296.8
Dallas Mavericks,DAL,Houston,HOU,241.89
Denver Nuggets,DEN,Houston,HOU,1038.61
Detroit Pistons,DET,Houston,HOU,1328.91
Golden State Warriors,GSW,Houston,HOU,1913.57
Houston Rockets,HOU,Houston,HOU,0
Indiana Pacers,IND,Houston,HOU,1021.35
Los Angeles Lakers,LAL,Houston,HOU,1551.55
Los Angeles Clippers,LAC,Houston,HOU,1551.55
Memphis Grizzlies,MEM,Houston,HOU,568.6
Miami Heat,MIA,Houston,HOU,1185.74
Milwaukee Bucks,MIL,Houston,HOU,1171.6
Minnesota Timberwolves,MIN,Houston,HOU,1180.22
New Orleans Pelicans,NOP,Houston,HOU,346.9
New York Knicks,NYK,Houston,HOU,1629.71
Oklahoma City Thunder,OKC,Houston,HOU,445.71
Orlando Magic,ORL,Houston,HOU,962.08
Philadelphia 76ers,PHI,Houston,HOU,1546.46
Phoenix Suns,PHX,Houston,HOU,1177.05
Portland Trailblazers,POR,Houston,HOU,2251.62
Sacramento Kings,SAC,Houston,HOU,1932.11
San Antonio Spurs,SAS,Houston,HOU,192.98
Toronto Raptors,TOR,Houston,HOU,1550.24
Utah Jazz,UTA,Houston,HOU,1451
Washington Wizards,WAS,Houston,HOU,1408.32
Atlanta Hawks,ATL,Indianapolis,IND,533.54
Boston Celtics,BOS,Indianapolis,IND,949.7
Brooklyn Nets,BKN,Indianapolis,IND,727.77
Charlotte Hornets,CHA,Indianapolis,IND,583.96
Chicago Bulls,CHI,Indianapolis,IND,186.43
Cleveland Cavaliers,CLE,Indianapolis,IND,315.27
Dallas Mavericks,DAL,Indianapolis,IND,899.97
Denver Nuggets,DEN,Indianapolis,IND,1083.21
Detroit Pistons,DET,Indianapolis,IND,297.86
Golden State Warriors,GSW,Indianapolis,IND,2277.5
Houston Rockets,HOU,Indianapolis,IND,1024.56
Indiana Pacers,IND,Indianapolis,IND,0
Los Angeles Lakers,LAL,Indianapolis,IND,2100.26
Los Angeles Clippers,LAC,Indianapolis,IND,2100.26
Memphis Grizzlies,MEM,Indianapolis,IND,465.55
Miami Heat,MIA,Indianapolis,IND,1195.4
Milwaukee Bucks,MIL,Indianapolis,IND,279.49
Minnesota Timberwolves,MIN,Indianapolis,IND,592.38
New Orleans Pelicans,NOP,Indianapolis,IND,820.84
New York Knicks,NYK,Indianapolis,IND,711.47
Oklahoma City Thunder,OKC,Indianapolis,IND,740.91
Orlando Magic,ORL,Indianapolis,IND,971.74
Philadelphia 76ers,PHI,Indianapolis,IND,643.53
Phoenix Suns,PHX,Indianapolis,IND,1698.1
Portland Trailblazers,POR,Indianapolis,IND,2269.11
Sacramento Kings,SAC,Indianapolis,IND,2193.64
San Antonio Spurs,SAS,Indianapolis,IND,1169.1
Toronto Raptors,TOR,Indianapolis,IND,536.48
Utah Jazz,UTA,Indianapolis,IND,1544.53
Washington Wizards,WAS,Indianapolis,IND,578.26
Atlanta Hawks,ATL,Los Angeles,LAL,2178.97
Boston Celtics,BOS,Los Angeles,LAL,2986.21
Brooklyn Nets,BKN,Los Angeles,LAL,2795.25
Charlotte Hornets,CHA,Los Angeles,LAL,2423.84
